Time_s,Sensor_negDegPLA,Sensor_negDegTPU,TempActual_C,TempTarget_C,HumActual_RH,HumTarget_RH
6113.06337092,77.07196875,NaN,NaN,NaN,NaN,NaN
6131.14275896,77.073765625,NaN,NaN,NaN,NaN,NaN
6149.22214108,77.06965625,NaN,NaN,NaN,NaN,NaN
6166,NaN,NaN,25,25,29.884,30
6182.79820036,77.072859375,NaN,NaN,NaN,NaN,NaN
6202,NaN,NaN,25.003,25,29.951,30
6218.95693306,77.066421875,NaN,NaN,NaN,NaN,NaN
6235.89694122,NaN,114.6385078125,NaN,NaN,NaN,NaN
6253.97607322,NaN,114.612171875,NaN,NaN,NaN,NaN
6272.05521926,NaN,114.6391796875,NaN,NaN,NaN,NaN
6288.69179756,77.073703125,NaN,NaN,NaN,NaN,NaN
6305.6307382,NaN,114.61359375,NaN,NaN,NaN,NaN
6324.85061074,77.066390625,NaN,NaN,NaN,NaN,NaN
6341.78907468,NaN,114.589765625,NaN,NaN,NaN,NaN
6359.86823192,NaN,114.598015625,NaN,NaN,NaN,NaN
6377.9473953,NaN,114.5818125,NaN,NaN,NaN,NaN
6396.02654194,NaN,114.558515625,NaN,NaN,NaN,NaN
6412,NaN,NaN,24.995,25,30.02,30
6429.60206284,NaN,114.5792890625,NaN,NaN,NaN,NaN
6448,NaN,NaN,24.99,25,30.022,30
6464.32034114,77.0636796875,NaN,NaN,NaN,NaN,NaN
6482.39973878,77.072609375,NaN,NaN,NaN,NaN,NaN
6500.47918704,77.0766640625,NaN,NaN,NaN,NaN,NaN
6518.5586035,77.06259375,NaN,NaN,NaN,NaN,NaN
6536,NaN,NaN,24.998,25,30.114,30
6553.57336818,NaN,114.574140625,NaN,NaN,NaN,NaN
6571.65252252,NaN,114.5684765625,NaN,NaN,NaN,NaN
6588.293436,77.079875,NaN,NaN,NaN,NaN,NaN
6606.37285078,77.0793359375,NaN,NaN,NaN,NaN,NaN
6624.45226542,77.071359375,NaN,NaN,NaN,NaN,NaN
6641.38634312,NaN,114.536078125,NaN,NaN,NaN,NaN
6658.028282,77.0682265625,NaN,NaN,NaN,NaN,NaN
6676.10769298,77.0694765625,NaN,NaN,NaN,NaN,NaN
6694.18712416,77.0688125,NaN,NaN,NaN,NaN,NaN
6711.12014926,NaN,114.48996875,NaN,NaN,NaN,NaN
6729,NaN,NaN,24.988,25,30.068,30
6747.2783859,NaN,114.5100703125,NaN,NaN,NaN,NaN
6763.922037,77.0681015625,NaN,NaN,NaN,NaN,NaN
6781,NaN,NaN,25.001,25,30.038,30
6798.93301712,NaN,114.46259375,NaN,NaN,NaN,NaN
6817.01217578,NaN,114.4625625,NaN,NaN,NaN,NaN
6833.6568968,77.0729765625,NaN,NaN,NaN,NaN,NaN
6851.73629938,77.0701875,NaN,NaN,NaN,NaN,NaN
6869.81567162,77.061984375,NaN,NaN,NaN,NaN,NaN
6886.74600656,NaN,114.4333359375,NaN,NaN,NaN,NaN
6903.39173662,77.061,NaN,NaN,NaN,NaN,NaN
6921.47112548,77.06965625,NaN,NaN,NaN,NaN,NaN
6939.55051186,77.06925,NaN,NaN,NaN,NaN,NaN
6956.47984162,NaN,114.468734375,NaN,NaN,NaN,NaN
6974.55900318,NaN,114.4544765625,NaN,NaN,NaN,NaN
6992.63811054,NaN,114.46840625,NaN,NaN,NaN,NaN
7010.71722882,NaN,114.4218515625,NaN,NaN,NaN,NaN
7027.36481862,77.0632265625,NaN,NaN,NaN,NaN,NaN
7045.44425648,77.0668203125,NaN,NaN,NaN,NaN,NaN
7062.37185706,NaN,114.428921875,NaN,NaN,NaN,NaN
7080.4510354,NaN,114.4138828125,NaN,NaN,NaN,NaN
7098,NaN,NaN,25.011,25,29.844,30
7116.60924834,NaN,114.396671875,NaN,NaN,NaN,NaN
7133,NaN,NaN,25.005,25,29.936,30
7150.18478014,NaN,114.4008984375,NaN,NaN,NaN,NaN
7168.26388672,NaN,114.3768359375,NaN,NaN,NaN,NaN
7185,NaN,NaN,25.012,25,29.983,30
7202.9934787,77.069796875,NaN,NaN,NaN,NaN,NaN
7220,NaN,NaN,25.006,25,30.032,30
7239.15229328,77.064765625,NaN,NaN,NaN,NaN,NaN
7256,NaN,NaN,24.997,25.094,30.141,30
7272.72838814,77.0637578125,NaN,NaN,NaN,NaN,NaN
7290.80778242,77.0686875,NaN,NaN,NaN,NaN,NaN
7308.88723264,77.06553125,NaN,NaN,NaN,NaN,NaN
7326.96665406,77.0625703125,NaN,NaN,NaN,NaN,NaN
7343.88972946,NaN,114.3724609375,NaN,NaN,NaN,NaN
7362,NaN,NaN,24.902,25.683,30.182,30
7378.6221655,77.04875,NaN,NaN,NaN,NaN,NaN
7396.70158782,77.0565078125,NaN,NaN,NaN,NaN,NaN
7414,NaN,NaN,25.092,25.972,29.733,30
7431.70263462,NaN,114.3244453125,NaN,NaN,NaN,NaN
7449.78178032,NaN,114.3360078125,NaN,NaN,NaN,NaN
7466.43645552,77.090125,NaN,NaN,NaN,NaN,NaN
