T_amb_C,T_MCU_C
38.439,44.850
38.369,44.350
38.299,44.600
38.229,42.350
38.159,44.100
38.089,43.600
38.020,43.850
37.951,43.350
37.882,44.350
37.745,43.100
37.676,43.350
37.538,43.100
37.470,42.850
37.323,42.600
37.254,43.600
37.185,42.850
36.980,43.100
36.912,42.850
36.845,42.350
36.777,43.100
36.709,42.350
36.642,42.100
36.574,41.850
36.506,42.350
36.438,42.850
36.371,41.850
36.303,42.100
36.234,41.600
36.164,43.100
36.095,41.350
36.025,42.350
35.887,41.100
35.817,41.600
35.748,41.100
35.678,42.100
35.608,41.100
35.469,42.100
35.400,41.600
35.260,41.100
35.191,42.100
35.121,41.100
35.052,40.850
34.912,39.850
34.843,40.350
34.773,40.600
34.704,40.850
34.634,39.850
34.564,39.100
34.493,41.100
34.281,39.850
34.210,40.350
34.139,41.100
34.068,39.350
33.997,40.100
33.927,39.850
33.785,40.350
33.643,39.850
33.572,40.350
33.501,38.850
33.430,39.600
33.358,39.850
33.284,40.600
33.209,39.600
33.134,39.100
33.060,39.850
32.985,38.600
32.695,38.850
32.622,37.350
32.550,39.100
32.477,37.600
32.405,37.850
32.332,38.600
32.260,37.600
32.192,38.600
32.055,37.100
31.985,37.850
31.915,38.850
31.845,37.850
31.775,37.600
31.706,37.100
31.637,38.600
31.568,37.350
31.431,37.850
31.226,36.600
31.156,37.600
31.087,36.350
31.020,37.350
30.954,36.600
30.887,34.600
30.819,37.350
30.746,36.350
30.673,36.100
30.603,37.350
30.537,36.350
30.471,36.100
30.400,35.850
30.327,37.850
30.255,36.600
30.113,35.350
29.972,36.600
29.901,35.850
29.830,34.850
29.759,36.350
29.618,35.350
29.547,35.850
29.477,35.350
29.408,35.100
29.338,34.850
29.268,35.100
29.198,34.600
29.128,34.100
29.059,34.350
28.990,35.350
28.920,34.850
28.851,34.100
28.781,35.850
28.708,34.100
28.635,35.350
28.561,33.850
28.488,34.350
28.345,35.350
28.279,34.100
28.138,33.850
28.068,34.350
27.997,32.850
27.927,34.850
27.859,34.600
27.792,34.350
27.725,33.100
27.656,34.100
27.584,34.350
27.513,35.100
27.442,33.350
27.300,32.850
27.230,32.100
27.159,33.350
27.019,32.850
26.948,33.350
26.878,31.600
26.809,33.350
26.742,32.850
26.675,32.100
26.605,33.100
26.532,32.100
26.459,32.850
26.388,31.850
26.319,32.100
26.249,31.600
26.180,33.600
26.111,32.100
26.041,33.350
25.972,32.100
25.902,31.600
25.832,31.850
25.762,31.100
25.692,32.100
25.482,30.850
25.412,32.100
25.342,30.600
25.273,31.100
25.203,31.600
25.134,31.100
25.065,30.600
24.995,30.350
24.926,30.850
24.789,31.100
24.720,31.350
24.583,29.600
24.515,30.600
24.375,29.850
24.305,29.600
24.234,30.850
24.164,29.600
24.094,30.850
23.953,30.350
23.882,30.100
23.809,28.850
23.736,30.100
23.671,30.850
23.603,29.850
23.532,30.850
23.460,30.350
23.389,30.100
23.318,31.350
23.246,30.100
23.175,29.350
23.104,28.350
23.032,29.850
22.961,30.100
22.890,29.600
22.819,30.350
22.748,28.350
22.606,28.850
22.536,28.350
22.395,28.850
22.325,27.600
22.254,26.850
22.185,29.100
22.116,28.350
22.046,27.100
21.977,28.350
21.908,27.600
21.838,27.350
21.768,27.600
21.626,28.600
21.555,27.100
21.484,27.600
21.412,28.100
21.341,27.600
21.269,27.850
21.197,27.350
21.125,26.600
20.981,27.600
20.912,27.850
20.844,28.100
20.775,26.850
20.707,27.100
20.638,26.850
20.570,26.100
20.501,27.100
20.430,26.350
20.359,27.600
20.218,25.350
20.147,26.100
20.077,26.350
20.008,25.600
19.869,26.100
19.800,26.600
19.730,25.100
19.661,26.350
19.523,25.600
19.453,25.100
19.384,25.600
19.245,26.350
19.176,23.850
19.106,26.600
19.037,25.100
18.967,25.600
18.898,24.350
18.827,25.600
18.682,25.100
18.612,25.350
18.543,24.100
18.474,25.600
18.404,24.350
18.263,25.600
18.192,23.600
18.050,23.100
17.979,24.350
17.837,25.350
17.767,25.600
17.696,23.100
17.625,24.350
17.483,22.850
17.342,23.600
17.272,22.600
17.201,23.100
17.131,23.350
17.061,24.350
16.991,22.850
16.921,23.100
16.706,23.600
16.635,23.350
16.563,22.100
16.492,22.350
16.422,21.850
16.351,23.100
16.280,21.850
16.135,21.100
15.992,21.850
15.921,23.100
15.849,21.850
15.707,20.350
15.635,20.850
15.564,21.100
15.421,21.600
15.349,21.100
15.278,21.850
15.207,21.350
15.136,21.100
14.926,20.600
14.856,21.100
14.712,22.100
14.640,21.100
14.437,19.600
14.369,21.100
14.233,19.600
14.162,21.100
14.092,19.850
14.021,21.100
13.951,19.600
13.810,20.350
13.744,20.100
13.679,20.350
13.608,18.600
13.537,20.600
13.466,19.600
13.324,19.100
13.253,20.350
13.182,18.850
13.111,20.350
13.040,18.850
12.969,19.850
12.898,18.600
12.827,18.850
12.756,19.850
12.685,18.600
12.614,18.850
12.471,18.350
12.399,17.850
12.327,18.850
12.182,17.600
12.110,18.350
12.038,17.350
11.966,17.850
11.894,18.100
11.745,16.850
11.675,16.350
11.611,18.600
11.547,17.100
11.483,17.600
11.354,16.850
11.287,17.600
