Time_s,Sawtooth_baseline_Value
75.4428708,169.1916435957
75.52548216,169.3960130215
75.608108,170.8703935146
75.69076072,171.9157844782
75.7733708,172.9087531567
75.85599198,172.8657931089
75.93860456,172.9965806007
76.02124804,172.830671072
76.10386342,172.9665845633
76.18650086,173.4144538641
76.26914648,174.1419285536
76.35177136,174.5500862598
76.43438556,175.0299334526
76.517003,174.9082654715
76.59961484,174.265190959
76.68224322,174.926623702
76.76485562,175.0003546476
76.84748562,175.6581515074
76.93010652,176.2045323849
77.01276104,176.7759919167
77.09539474,176.300406456
