Time_s,Sensor_negDegPLA,TempActual_C
36117.142455,53.123254,-19.986813
36135.221869,53.144176,-19.987723
36153.301303,53.136066,-19.988634
36223.036251,53.115520,-19.992146
36292.771214,53.107816,-19.988920
36310.850640,53.100227,-19.987522
36328.930041,53.108770,-19.986124
36362.506126,53.114531,-19.983528
36380.585592,53.116141,-19.982130
36398.665005,53.109023,-19.980732
36416.744451,53.091664,-19.979334
36486.479416,53.083164,-19.984975
36504.558840,53.089266,-19.987378
36522.638276,53.097387,-19.989781
36556.214357,53.078430,-19.994244
36574.293797,53.086508,-19.996647
36680.187602,53.062176,-20.002349
36698.267033,53.051055,-20.003035
36768.001948,53.066156,-19.998499
36837.736936,53.062379,-19.994973
36855.816363,53.062805,-19.996012
36925.551304,53.038758,-19.994756
36943.630728,53.025133,-19.993984
36961.710178,53.039047,-19.993212
36979.789606,53.033000,-19.992440
37031.445066,53.028977,-19.990234
37049.524529,53.037801,-19.989462
37119.259312,53.026812,-19.986484
37137.338718,53.001473,-19.985712
37188.994216,53.012570,-19.986972
37207.073622,52.990961,-19.987990
37276.808557,53.034578,-19.990234
37294.887987,53.015281,-19.990664
37364.622855,53.010820,-19.992324
37382.702282,53.012258,-19.992755
37576.410314,53.041590,-19.992954
37609.986399,53.030902,-19.992370
37646.145293,53.032059,-19.988621
37664.224720,53.019473,-19.982949
37733.959647,53.034406,-19.986512
37752.039057,53.030523,-19.987026
37770.118468,53.015871,-19.987541
37803.694548,53.052578,-19.988498
37839.853398,53.019230,-19.989527
37909.588382,53.007973,-19.991514
37945.747210,53.026160,-19.992543
38121.375700,53.026547,-19.993615
38154.951756,53.018633,-19.997166
38173.031148,52.995082,-19.995088
38191.110567,52.989293,-19.993010
38209.189936,53.001297,-19.990932
38245.348754,52.995039,-19.991687
38402.897930,53.015867,-19.997982
38439.056747,53.004883,-20.001000
38472.632740,53.016543,-19.997082
38542.367560,52.979273,-19.994253
38578.526392,52.970934,-19.995135
38596.605793,52.942293,-19.995576
38666.340550,52.956078,-19.995927
38772.234255,52.931266,-19.856522
38790.313637,52.924121,-19.787005
38860.048520,52.996672,-19.342695
38878.127908,53.055328,-19.211983
38947.862827,53.133230,-18.819964
38965.942246,53.157922,-18.727609
39017.597675,53.201437,-18.463741
39035.677062,53.236223,-18.371387
39053.756492,53.228762,-18.279033
39071.835927,53.270266,-18.186678
39141.570887,53.383973,-17.844694
39159.650312,53.441020,-17.757236
39247.464727,53.659402,-17.330223
39299.120178,53.730266,-17.078705
39317.199594,53.775367,-16.990673
39350.775623,53.831609,-16.831650
39386.934401,53.930770,-16.665818
39405.013833,53.957742,-16.582902
39474.748773,54.018930,-16.238312
39510.907639,54.061430,-16.032275
39528.987031,54.082547,-15.920489
39547.066486,54.106332,-15.808702
39598.721963,54.215691,-15.494870
39616.801375,54.258187,-15.385978
39634.880798,54.276109,-15.277086
39704.615742,54.412711,-14.889023
39774.350656,54.584887,-14.505121
39810.509454,54.617617,-14.306061
39828.588876,54.617723,-14.206531
39916.403298,54.872551,-13.729367
39986.138226,54.996496,-13.344240
40019.714242,55.131734,-13.159854
40055.873144,55.215613,-12.961631
